0	-240	-1360	-2080	0	4000	
1	-240	-1360	-2080	0	4000	
2	-200	-1120	-2400	0	4000	
3	-200	-1120	-2400	0	4000	
4	-400	-1200	-2160	0	4000	
5	-400	-1200	-2160	0	4000	
6	-400	-1040	-2080	0	4000	
7	-400	-1040	-2080	0	4000	
8	-280	-880	-2160	0	4000	
9	-280	-880	-2160	0	4000	
10	-80	-920	-2200	0	4000	
11	-80	-920	-2200	0	4000	
12	-280	-1040	-2160	0	4000	
13	-280	-1040	-2160	0	4000	
14	-240	-880	-2120	0	4000	
15	-240	-880	-2120	0	4000	
16	-240	-880	-2200	0	4000	
17	-240	-880	-2200	0	4000	
18	-280	-960	-2280	0	4000	
19	-280	-960	-2280	0	4000	
20	-320	-920	-2120	0	4000	
21	-320	-920	-2120	0	4000	
22	-240	-1080	-2160	0	4000	
23	-240	-1080	-2160	0	4000	
24	-200	-920	-2280	0	4000	
25	-200	-920	-2280	0	4000	
26	-280	-920	-2040	0	4000	
27	-280	-920	-2040	0	4000	
28	-320	-960	-2000	0	4000	
29	-320	-960	-2000	0	4000	
30	-320	-840	-2040	0	4000	
31	-320	-840	-2040	0	4000	
32	-440	-1160	-2200	0	4000	
33	-440	-1160	-2200	0	4000	
34	-320	-1080	-2160	0	4000	
35	-320	-1080	-2160	0	4000	
36	160	-880	-120	0	4000	
37	160	-880	-120	0	4000	
38	80	-840	-120	0	4000	
39	80	-840	-120	0	4000	
40	40	-520	80	0	4000	
41	40	-520	80	0	4000	
42	0	-560	120	0	4000	
43	0	-560	120	0	4000	
44	-40	-880	160	0	4000	
45	-40	-880	160	0	4000	
46	0	-560	120	0	4000	
47	0	-560	120	0	4000	
48	200	-1000	160	0	4000	
49	200	-1000	160	0	4000	
50	80	-640	0	0	4000	
51	80	-640	0	0	4000	
52	120	-680	160	0	4000	
53	120	-680	160	0	4000	
54	0	-640	0	0	4000	
55	0	-640	0	0	4000	
56	200	-480	0	0	4000	
57	200	-480	0	0	4000	
58	-80	-760	-80	0	4000	
59	-80	-760	-80	0	4000	
60	-120	-760	80	0	4000	
61	-120	-760	80	0	4000	
62	80	-1560	240	0	4000	
63	80	-1560	240	0	4000	
64	80	-1560	240	0	4000	
65	40	-1120	120	0	4000	
